preco;ano;kms;cidade;estado;modelo_carro;marca
6691;2007;120802;St. Petersburg; FL;Accord;Honda
6693;2008;123407;Des Plaines; IL;Accord;Honda
6695;2007;98817;Paramus; NJ;Accord;Honda
6695;2010;125481;Hackettstown; NJ;Accord;Honda
6700;2006;127600;Norcross; GA;Accord;Honda
6741;2006;127158;Olathe; KS;Accord;Honda
6750;2007;127046;Moon Township; PA;Accord;Honda
6773;2007;58756;Warren; OR;Accord;Honda
6789;2006;114207;Virginia Beach; VA;Accord;Honda
6791;2007;77665;Tampa; FL;Accord;Honda
6795;2006;96121;Honolulu; HI;Accord;Honda
6795;2007;101009;Hampstead; MD;Accord;Honda
6796;2007;90340;N Lauderdale; FL;Accord;Honda
6798;2007;142880;Westbrook; CT;Accord;Honda
6799;2006;107166;Gurnee; IL;Accord;Honda
6799;2008;108762;West Bridgewater; MA;Accord;Honda
6814;2007;140778;Lynnwood; WA;Accord;Honda
6817;2007;129633;Santa Clara; CA;Accord;Honda
6819;2009;124676;Naples; FL;Accord;Honda
6843;2006;127633;Palo Alto; CA;Accord;Honda
6882;2008;122528;Austin; TX;Accord;Honda
6887;2008;137991;Cincinnati; OH;Accord;Honda
6888;2006;94889;Madison; NJ;Accord;Honda
6888;2007;108264;Chino; CA;Accord;Honda
6890;2007;98400;Dallas; TX;Accord;Honda
6895;2007;123283;Tinley Park; IL;Accord;Honda
6895;2008;119856;Lakewood; CO;Accord;Honda
6899;2007;117471;Phoenix; AZ;Accord;Honda
6900;2007;99446;Mesa; AZ;Accord;Honda
6900;2007;102973;Fredericksburg; VA;Accord;Honda
6900;2007;114823;Austin; TX;Accord;Honda
6900;2007;100908;Fort Pierce; FL;Accord;Honda
6900;2010;114923;Nottingham; MD;Accord;Honda
6913;2007;78743;Minooka; IL;Accord;Honda
6921;2006;142912;Portland; OR;Accord;Honda
6921;2008;114051;Stamford; CT;Accord;Honda
6924;2007;124650;Grand Island; NY;Accord;Honda
6939;2007;121877;St Charles; IL;Accord;Honda
6950;2006;126003;Irving; TX;Accord;Honda
6950;2006;104825;Doylestown; PA;Accord;Honda
6950;2007;96896;Swannanoa; NC;Accord;Honda
6950;2008;137251;Portsmouth; NH;Accord;Honda
6950;2010;101220;Garner; NC;Accord;Honda
6955;2009;127538;Elgin; IL;Accord;Honda
6959;2006;97083;Hillsboro; OR;Accord;Honda
6975;2009;138600;Raleigh; NC;Accord;Honda
6976;2006;113839;Savannah; GA;Accord;Honda
6977;2006;95222;Thornton; CO;Accord;Honda
6980;2009;132403;Alcoa; TN;Accord;Honda
6980;2011;116600;Grand Rapids; MN;Accord;Honda
6981;2007;101992;Selma; TX;Accord;Honda
6982;2008;134025;Irving; TX;Accord;Honda
6984;2008;120930;Sterling; VA;Accord;Honda
6987;2007;132088;Richardson; TX;Accord;Honda
6987;2007;139189;Roswell; GA;Accord;Honda
6987;2008;120323;Ewing; NJ;Accord;Honda
6988;2006;63132;Miami; FL;Accord;Honda
6988;2006;135520;Schaumburg; IL;Accord;Honda
6988;2006;117460;Victoria; TX;Accord;Honda
6988;2010;125139;Jacksonville; FL;Accord;Honda
6989;2008;136606;Atlanta; GA;Accord;Honda
6990;2008;140438;Miami; FL;Accord;Honda
6990;2008;133517;Hasbrouck Heights; NJ;Accord;Honda
6990;2008;136809;Stone Mountain; GA;Accord;Honda
6990;2010;67323;Schaumburg; IL;Accord;Honda
6991;2007;85882;Wesley Chapel; FL;Accord;Honda
6991;2008;134029;Greenville; TX;Accord;Honda
6991;2008;131985;Danbury; CT;Accord;Honda
6993;2008;102095;Northumberland; PA;Accord;Honda
6993;2009;107643;Hollywood; FL;Accord;Honda
6994;2009;142275;Burlington; NJ;Accord;Honda
6995;2006;75099;Marietta; GA;Accord;Honda
6995;2006;122143;Wilmington; DE;Accord;Honda
6995;2006;117816;Fredricksburg; VA;Accord;Honda
6995;2006;120045;Chantilly; VA;Accord;Honda
6995;2006;126238;West Chester; PA;Accord;Honda
6995;2006;139310;Lakewood; WA;Accord;Honda
6995;2006;108999;Brooklyn; NY;Accord;Honda
6995;2006;143884;Virgina Beach; VA;Accord;Honda
6995;2006;119799;Dalton; GA;Accord;Honda
6995;2007;101529;Ledgewood; NJ;Accord;Honda
6995;2007;97965;Toms River; NJ;Accord;Honda
6995;2007;93219;Orlando; FL;Accord;Honda
6995;2007;103915;New London; CT;Accord;Honda
6995;2007;101205;Hampstead; MD;Accord;Honda
6995;2007;73255;Miami; FL;Accord;Honda
6995;2007;110159;Norwood; MA;Accord;Honda
6995;2007;117555;Bloomfield; NJ;Accord;Honda
6995;2007;127007;Manhattan; KS;Accord;Honda
6995;2007;118131;Leesburg; VA;Accord;Honda
6995;2007;92987;San Antonio; TX;Accord;Honda
6995;2007;128666;Payson; UT;Accord;Honda
6995;2007;106230;Londonderry; NH;Accord;Honda
6995;2007;97462;Vernon; CT;Accord;Honda
